Training RetinaNet-ResNet50, FPN_MODE=custom, 640px, 30 epochs
/home/aarav/attack_env/lib/python3.12/site-packages/torchvision/models/_utils.py:135: UserWarning: Using 'backbone_name' as positional parameter(s) is deprecated since 0.13 and may be removed in the future. Please use keyword parameter(s) instead.
  warnings.warn(
  ep24/30 it800/809 loss 0.622 lr 0.00013
Epoch 24 done, avg loss 0.499
  ep25/30 it0/809 loss 0.574 lr 0.00010
  ep25/30 it50/809 loss 0.602 lr 0.00010
  ep25/30 it100/809 loss 0.599 lr 0.00010
  ep25/30 it150/809 loss 0.388 lr 0.00010
  ep25/30 it200/809 loss 0.635 lr 0.00010
  ep25/30 it250/809 loss 0.516 lr 0.00010
  ep25/30 it300/809 loss 0.515 lr 0.00010
  ep25/30 it350/809 loss 0.669 lr 0.00010
  ep25/30 it400/809 loss 0.535 lr 0.00010
  ep25/30 it450/809 loss 0.533 lr 0.00010
  ep25/30 it500/809 loss 0.524 lr 0.00010
  ep25/30 it550/809 loss 0.492 lr 0.00010
  ep25/30 it600/809 loss 0.612 lr 0.00010
  ep25/30 it650/809 loss 0.560 lr 0.00010
  ep25/30 it700/809 loss 0.503 lr 0.00010
  ep25/30 it750/809 loss 0.459 lr 0.00010
  ep25/30 it800/809 loss 0.408 lr 0.00010
Epoch 25 done, avg loss 0.497
  ep26/30 it0/809 loss 0.567 lr 0.00007
  ep26/30 it50/809 loss 0.583 lr 0.00007
  ep26/30 it100/809 loss 0.494 lr 0.00007
  ep26/30 it150/809 loss 0.453 lr 0.00007
  ep26/30 it200/809 loss 0.529 lr 0.00007
  ep26/30 it250/809 loss 0.401 lr 0.00007
  ep26/30 it300/809 loss 0.482 lr 0.00007
  ep26/30 it350/809 loss 0.463 lr 0.00007
  ep26/30 it400/809 loss 0.433 lr 0.00007
  ep26/30 it450/809 loss 0.502 lr 0.00007
  ep26/30 it500/809 loss 0.585 lr 0.00007
  ep26/30 it550/809 loss 0.450 lr 0.00007
  ep26/30 it600/809 loss 0.493 lr 0.00007
  ep26/30 it650/809 loss 0.593 lr 0.00007
  ep26/30 it700/809 loss 0.525 lr 0.00007
  ep26/30 it750/809 loss 0.497 lr 0.00007
  ep26/30 it800/809 loss 0.536 lr 0.00007
Epoch 26 done, avg loss 0.495
  ep27/30 it0/809 loss 0.524 lr 0.00004
  ep27/30 it50/809 loss 0.498 lr 0.00004
  ep27/30 it100/809 loss 0.467 lr 0.00004
  ep27/30 it150/809 loss 0.510 lr 0.00004
  ep27/30 it200/809 loss 0.461 lr 0.00004
  ep27/30 it250/809 loss 0.551 lr 0.00004
  ep27/30 it300/809 loss 0.501 lr 0.00004
  ep27/30 it350/809 loss 0.456 lr 0.00004
  ep27/30 it400/809 loss 0.576 lr 0.00004
  ep27/30 it450/809 loss 0.506 lr 0.00004
  ep27/30 it500/809 loss 0.465 lr 0.00004
  ep27/30 it550/809 loss 0.464 lr 0.00004
  ep27/30 it600/809 loss 0.472 lr 0.00004
  ep27/30 it650/809 loss 0.443 lr 0.00004
  ep27/30 it700/809 loss 0.441 lr 0.00004
